unit_candidate_id	product_title	artist_name	artist_entity_type	candidate_title	existing_recording_id	existing_song_id	review_reason
UNIT0113-02-010	USB - Colección 100 Exitos | Helenita Vargas	Helenita Vargas	performer	Nos Estorbó la Ropa	REC005619	SONG004267	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-03-001	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	El Sofá	REC005550	SONG004207	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-03-002	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Quién Será	REC004413;REC004414;REC005551	SONG003305	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-03-003	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Burundanga	REC005552	SONG004208	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-03-004	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Todo Me Gusta de Ti	REC005553	SONG004209	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-03-005	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	El Mambo es Universal	REC005554	SONG004210	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-03-006	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Cuando Tú Seas Mía	REC005555	SONG004211	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-03-007	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Oye Mima	REC005556	SONG004212	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-03-008	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Desesperación	REC005557	SONG004213	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-03-009	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Quedé Zaina	REC005558	SONG004214	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-03-010	USB - Colección 100 Exitos de La Sonora Matancera	La Sonora Matancera	group	Historia de Un Amor	REC002285;REC002286;REC002287;REC005559	SONG001714	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-001	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	El Carretero – Guillermo Portabales			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-002	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Malao de Caña – La Sonora Matancera			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-003	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	El Que Siembra Su Maíz – Orquesta de Bebo Valdés			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-004	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	A San Lázaro (Babalú) – Celina y Reutilio			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-005	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Lupita – Fruko y Orquesta			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-006	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Yo Tengo Pena – Los Compadres			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-007	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Mira Que Eres LInda – Roberto Ledesma			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-008	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Alegre Petición – Trío Matamoros			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-009	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Nuevamente – Orlando Contreras			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-04-010	USB - Colección 100 Exitos de Música Cubana	Varios Artistas	performer	Adiós Compay Gato – Los Guaracheros de Oriente			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-05-001	USB - Que Viva Diciembre	Varios Artistas	performer	Las Tapas	REC005630	SONG004275	recording_title_exists;song_title_exists;artist_not_matched_to_authority
UNIT0113-05-002	USB - Que Viva Diciembre	Varios Artistas	performer	Quiero Ser Feliz	REC005631	SONG004276	recording_title_exists;song_title_exists;artist_not_matched_to_authority
UNIT0113-05-003	USB - Que Viva Diciembre	Varios Artistas	performer	03 Amor Serrano Demo			artist_not_matched_to_authority
UNIT0113-05-004	USB - Que Viva Diciembre	Varios Artistas	performer	Plegaria	REC004074;REC004075;REC005633	SONG003054	recording_title_exists;song_title_exists;artist_not_matched_to_authority
UNIT0113-05-005	USB - Que Viva Diciembre	Varios Artistas	performer	Capullo De Rosa Blanca	REC005634	SONG004278	recording_title_exists;song_title_exists;artist_not_matched_to_authority
UNIT0113-05-006	USB - Que Viva Diciembre	Varios Artistas	performer	El Bailador	REC005577;REC005635	SONG004232	recording_title_exists;song_title_exists;artist_not_matched_to_authority
UNIT0113-05-007	USB - Que Viva Diciembre	Varios Artistas	performer	Cumbia Arabe	REC001087;REC005636	SONG000822	recording_title_exists;song_title_exists;artist_not_matched_to_authority
UNIT0113-05-008	USB - Que Viva Diciembre	Varios Artistas	performer	La Boquitrompona	REC005637;REC005665	SONG004279	recording_title_exists;song_title_exists;artist_not_matched_to_authority
UNIT0113-05-009	USB - Que Viva Diciembre	Varios Artistas	performer	El Porteñito	REC005638	SONG004280	recording_title_exists;song_title_exists;artist_not_matched_to_authority
UNIT0113-05-010	USB - Que Viva Diciembre	Varios Artistas	performer	La Cerveza	REC005639	SONG004281	recording_title_exists;song_title_exists;artist_not_matched_to_authority
UNIT0113-06-001	USB - Colección 100 Exitos del Siglo | Joe Arroyo	Joe Arroyo	performer	A Mi Dios Todo le Debo	REC005560	SONG004215	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-06-002	USB - Colección 100 Exitos del Siglo | Joe Arroyo	Joe Arroyo	performer	Confundido	REC005561	SONG004216	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-06-003	USB - Colección 100 Exitos del Siglo | Joe Arroyo	Joe Arroyo	performer	El Arbol	REC005562	SONG004217	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-06-004	USB - Colección 100 Exitos del Siglo | Joe Arroyo	Joe Arroyo	performer	El Caminante	REC005563	SONG004218	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-06-005	USB - Colección 100 Exitos del Siglo | Joe Arroyo	Joe Arroyo	performer	El Centurión de la Noche	REC005564	SONG004219	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-06-006	USB - Colección 100 Exitos del Siglo | Joe Arroyo	Joe Arroyo	performer	El Cocinero Mayor	REC005565	SONG004220	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-06-007	USB - Colección 100 Exitos del Siglo | Joe Arroyo	Joe Arroyo	performer	El Son del Caballo	REC005566	SONG004221	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-06-008	USB - Colección 100 Exitos del Siglo | Joe Arroyo	Joe Arroyo	performer	La Maestranza # 1	REC005567	SONG004222	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-06-009	USB - Colección 100 Exitos del Siglo | Joe Arroyo	Joe Arroyo	performer	Por Ti No Moriré	REC005568	SONG004223	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-06-010	USB - Colección 100 Exitos del Siglo | Joe Arroyo	Joe Arroyo	performer	Teresa Vuelve	REC005569	SONG004224	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-07-001	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	Cosas Como Tu	REC005590	SONG004244	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-07-002	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	Huri	REC005591;REC005609	SONG004245	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-07-003	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	La Cumparsita	REC002533;REC005592	SONG001886	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-07-004	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	Mis Flores Negras	REC005593	SONG004246	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-07-005	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	Ojos Negros	REC005594	SONG004247	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-07-006	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	Perdón	REC005595	SONG004248	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-07-007	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	Prenda del Alma	REC004207;REC005596	SONG003157	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-07-008	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	Prisionero de Tus Brazos	REC005597	SONG004249	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-07-009	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	Pueblito Viejo	REC005598	SONG004250	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-07-010	USB - Colección Homenaje a Toño Fuentes	Toño Fuentes	performer	Quiéreme Mucho	REC004422;REC004423;REC005599	SONG003309	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-08-001	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Festival en Guararé – Los Corraleros de Majagual			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-08-002	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Playas Marinas – Calixto Ochoa y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-08-003	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Te Llevaré – Lisandro Meza y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-08-004	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Celos de Amor – Armando Hernández con el Combo Caribe			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-08-005	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Esta Noche es Mía – Alfredo Gutiérrez y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-08-006	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Mata E Caña – Calixto Ochoa y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-08-007	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Entre Rejas – Lisandro Meza y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-08-008	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	La Zenaida – Armando Hernández con el Combo Caribe			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-08-009	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Dos Mujeres – Alfredo Gutiérrez y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-08-010	USB - Colección 100 Exitos | Cuatro Grandes de la Música Tropical	Varios Artistas	performer	Los Sabanales – Los Corraleros de Majagual			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-09-001	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	La Sombra de Tu Sonrisa - Pacho Galán y Su Orquesta			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-09-002	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	Santo Domingo - Los Cumbiamberos de Pacheco			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-09-003	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	El Toro Miura - Los Corraleros de Majagual			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-09-004	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	Cumbia en Do Menor - Lito Barrientos y Su Orquesta			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-09-005	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	El Tirabuzón - Clímaco Sarmiento y Su Orquesta			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-09-006	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	La Morena Encarnación - Los Corraleros de Majagual			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-09-007	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	La Ñeca - Pedro Laza y Sus Pelayeros			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-09-008	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	Cumbia Cienaguera - Conjunto Típico Vallenato			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-09-009	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	En la Madrugá - Pacho Galán y Su Orquesta			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-09-010	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	Varios Artistas	performer	Cumbia Sampuesana - Conjunto Típico Vallenato			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-10-001	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	El Barquito	REC005650	SONG004291	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-10-002	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	La Chivita	REC005651	SONG004292	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-10-003	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	Los Diez Perritos	REC005652	SONG004293	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-10-004	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	El Cucú	REC005653	SONG004294	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-10-005	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	La Gallinita Josefina	REC005654	SONG004295	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-10-006	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	Los Pollitos Dicen	REC005655	SONG004296	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-10-007	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	Arriba Juan	REC005656	SONG004297	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-10-008	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	La Mar	REC005657	SONG004298	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-10-009	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	Pulgarcito	REC005658	SONG004299	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-10-010	USB - Colección 100 Canciones Infantiles	Varios Artistas	performer	La Cucaracha	REC002527;REC002528;REC005659	SONG001882	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-11-001	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	Echele Agua a la Sopa - Los Alegres Parranderos			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-11-002	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	El Enredo - Joaquín Bedoya y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-11-003	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	El Duende Alegre - Los Alegres Parranderos			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-11-004	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	La Encomienda - Agustín Bedoya y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-11-005	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	La Dulce Toma - Los Alegres Parranderos			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-11-006	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	La Boquitrompona - El Manicomio de Vargasvil			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-11-007	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	Que lo DIga Ella - Los Alegres Parranderos			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-11-008	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	Las Piponchas - Agustín Bedoya y Su Conjunto			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-11-009	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	Ya Voy Toño - Los Alegres Parranderos			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-11-010	USB - Colección 100 Parranderas del Siglo	Varios Artistas	performer	Mi Novia de Malas - Los Integrados			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-12-001	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Feliz Nochebuena / Los Hispanos			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-12-002	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Bella es la Navida / Ricardo Ray - Bobby Cruz			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-12-003	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	En la Nochebuena / La Sonora Matancera			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-12-004	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Ron de Vinola / Guillermo Buitrago			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-12-005	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	El Hijo Ausente / Pastor López y Su Combo			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-12-006	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Maldita Navidad / Gabriel Romero y Su Orquesta			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-12-007	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	El Pesebre / Afrosound			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-12-008	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Aires de Navidad / Los Titanes			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-12-009	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Grito Vagabundo / Guillermo Buitrago			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-12-010	USB - Colección 100 Exitos de Diciembre	Varios Artistas	performer	Pascua en Navidad / Luis Felipe González			source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-13-001	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Niño del Alma Mía	REC005680	SONG004318	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-13-002	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Feliz Navidad	REC005681	SONG004319	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-13-003	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Tutaina	REC005682	SONG004320	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-13-004	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Salve Reina y Madre	REC005683	SONG004321	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-13-005	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Zagalillo	REC005684	SONG004322	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-13-006	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Antón	REC005685	SONG004323	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-13-007	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	La Nanita Nana	REC005686	SONG004324	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-13-008	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Vamos Vamos Pastorcitos	REC005687	SONG004325	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-13-009	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	El Burrito de Belén	REC005688	SONG004326	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-13-010	USB - Colección 100 Villancicos del Siglo	Varios Artistas	performer	Dónde Están Mis Juguetes	REC005689	SONG004327	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-14-001	USB - Colección 100 Exitos de Pastor López	Pastor López	performer	Solo Un Cigarro	REC005690	SONG004328	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-14-002	USB - Colección 100 Exitos de Pastor López	Pastor López	performer	Tempestad	REC005691	SONG004329	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-14-003	USB - Colección 100 Exitos de Pastor López	Pastor López	performer	Traicionera	REC005029;REC005692	SONG003788	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-14-004	USB - Colección 100 Exitos de Pastor López	Pastor López	performer	EL Hijo Ausente	REC005674;REC005693	SONG004313	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-14-005	USB - Colección 100 Exitos de Pastor López	Pastor López	performer	Golpe con Golpe	REC005694	SONG004330	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
UNIT0113-14-006	USB - Colección 100 Exitos de Pastor López	Pastor López	performer	Fue Por Una Cerveza	REC005695	SONG004331	recording_title_exists;song_title_exists;source_tracklist_partial_or_estimated;artist_not_matched_to_authority
