source_id	artist	release_title	recording_title	evidence_status	mp3_lookup_priority
SRC0003	Cheo Feliciano	Cheo	Anacaona	fania_text_verified	high
SRC0003	Cheo Feliciano	Cheo	Pa Que Afinquen	fania_text_verified	high
SRC0003	Cheo Feliciano	Cheo	Mi Triste Problema	fania_text_verified	high
SRC0003	Cheo Feliciano	Cheo	Si Por Mi Llueve	fania_text_verified	high
SRC0003	Cheo Feliciano	Cheo	Franqueza Cruel	fania_text_verified	high
SRC0003	Cheo Feliciano	Cheo	Eso Es El Guaguancó	fania_text_verified	high
SRC0003	Cheo Feliciano	Cheo	Mano Caliente	fania_text_verified	high
SRC0003	Cheo Feliciano	Cheo	Pienso En Ti	fania_text_verified	medium
SRC0003	Cheo Feliciano	Cheo	Medianoche Y Sol	fania_text_verified	medium
SRC0003	Cheo Feliciano	Cheo	Poema De Otoño	fania_text_verified	medium
SRC0003	Cheo Feliciano	Estampas	Los Entierros	fania_text_verified	high
SRC0003	Cheo Feliciano	Estampas	Estampa Marina	fania_text_verified	high
SRC0003	Cheo Feliciano	Estampas	Cualquier Cosa	fania_text_verified	medium
SRC0003	Cheo Feliciano	Estampas	Con Mis Memorias	fania_text_verified	medium
SRC0003	Cheo Feliciano	Estampas	Lucero	fania_text_verified	medium
SRC0003	Cheo Feliciano	Estampas	Lamento Guajiro	fania_text_verified	medium
SRC0003	Cheo Feliciano	Estampas	Tiempo Muerto	fania_text_verified	medium
SRC0003	Cheo Feliciano	Estampas	Así Soy	fania_text_verified	medium
SRC0003	Cheo Feliciano	Estampas	Desahogo	fania_text_verified	medium
SRC0003	Cheo Feliciano	Felicidades	Comadrita	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Felicidades	Mapeyé	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Felicidades	Me La Gozo Entera	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Felicidades	Aleluya De Los Campos	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Felicidades	Pa’ La Gente Panameña	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Felicidades	Mañana Boricua	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Felicidades	La Fiesta	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Felicidades	El Parrandero	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Felicidades	A Las Alegres Campanas	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Felicidades	Felicidades	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Sentimiento Tú	Juan Albañil	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Sentimiento Tú	Sobre Una Tumba Humilde	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Sentimiento Tú	Lamentación Campesina	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Sentimiento Tú	Amada Mia	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Sentimiento Tú	Salí Porque Salí	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Sentimiento Tú	Noche Sensacional	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Sentimiento Tú	Castillos De Arena	fania_text_candidate	medium
SRC0003	Cheo Feliciano	Sentimiento Tú	Cuento Número Uno	fania_text_candidate	medium
