artist_candidate_id	candidate_artist_type	confidence	evidence_text	raw_artist_text	release_candidate_id	release_title	review_status	source_id	source_name	source_reference	source_url
SRC0003-B0001-ART001	performer_candidate_needs_review	medium-high	Artist text appears on Fania official shop product page for release 'Siembra': Willie Colón	Willie Colón	SRC0003-B0001-REL001	Siembra	staged_for_review	SRC0003	Fania Records	https://fania.com/products/willie-colon-ruben-blades-siembra-1	https://fania.com/products/willie-colon-ruben-blades-siembra-1
SRC0003-B0001-ART002	performer_candidate_needs_review	medium-high	Artist text appears on Fania official shop product page for release 'Siembra': Rubén Blades	Rubén Blades	SRC0003-B0001-REL001	Siembra	staged_for_review	SRC0003	Fania Records	https://fania.com/products/willie-colon-ruben-blades-siembra-1	https://fania.com/products/willie-colon-ruben-blades-siembra-1
SRC0003-B0001-ART003	performer_candidate_needs_review	medium-high	Artist text appears on Fania official shop product page for release 'Celia & Johnny': Celia Cruz	Celia Cruz	SRC0003-B0001-REL002	Celia & Johnny	staged_for_review	SRC0003	Fania Records	https://fania.com/products/celia-johnny-celia-johnny-lp	https://fania.com/products/celia-johnny-celia-johnny-lp
SRC0003-B0001-ART004	performer_candidate_needs_review	medium-high	Artist text appears on Fania official shop product page for release 'Celia & Johnny': Johnny Pacheco	Johnny Pacheco	SRC0003-B0001-REL002	Celia & Johnny	staged_for_review	SRC0003	Fania Records	https://fania.com/products/celia-johnny-celia-johnny-lp	https://fania.com/products/celia-johnny-celia-johnny-lp
SRC0003-B0001-ART005	group_candidate	medium-high	Artist text appears on Fania official shop product page for release 'Live At Yankee Stadium Vol. 1': Fania All Stars	Fania All Stars	SRC0003-B0001-REL003	Live At Yankee Stadium Vol. 1	staged_for_review	SRC0003	Fania Records	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-1-lp	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-1-lp
SRC0003-B0001-ART006	performer_candidate_needs_review	medium-high	Artist text appears on Fania official shop product page for release 'Live At Yankee Stadium Vol. 1': Ismael Miranda	Ismael Miranda	SRC0003-B0001-REL003	Live At Yankee Stadium Vol. 1	staged_for_review	SRC0003	Fania Records	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-1-lp	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-1-lp
SRC0003-B0001-ART007	performer_candidate_needs_review	medium-high	Artist text appears on Fania official shop product page for release 'Live At Yankee Stadium Vol. 1': Santos Colón	Santos Colón	SRC0003-B0001-REL003	Live At Yankee Stadium Vol. 1	staged_for_review	SRC0003	Fania Records	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-1-lp	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-1-lp
SRC0003-B0001-ART008	performer_candidate_needs_review	medium-high	"Artist text appears on Fania official shop product page for release 'Live At Yankee Stadium Vol. 1': Pete ""Conde"" Rodríguez"	"Pete ""Conde"" Rodríguez"	SRC0003-B0001-REL003	Live At Yankee Stadium Vol. 1	staged_for_review	SRC0003	Fania Records	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-1-lp	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-1-lp
SRC0003-B0001-ART009	performer_candidate_needs_review	medium-high	Artist text appears on Fania official shop product page for release 'Live At Yankee Stadium Vol. 1': Héctor Lavoe	Héctor Lavoe	SRC0003-B0001-REL003	Live At Yankee Stadium Vol. 1	staged_for_review	SRC0003	Fania Records	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-1-lp	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-1-lp
SRC0003-B0001-ART010	performer_candidate_needs_review	medium-high	Artist text appears on Fania official shop product page for release 'Live At Yankee Stadium Vol. 2': Bobby Cruz	Bobby Cruz	SRC0003-B0001-REL004	Live At Yankee Stadium Vol. 2	staged_for_review	SRC0003	Fania Records	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-2-lp	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-2-lp
SRC0003-B0001-ART011	performer_candidate_needs_review	medium-high	Artist text appears on Fania official shop product page for release 'Live At Yankee Stadium Vol. 2': Ismael Quintana	Ismael Quintana	SRC0003-B0001-REL004	Live At Yankee Stadium Vol. 2	staged_for_review	SRC0003	Fania Records	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-2-lp	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-2-lp
SRC0003-B0001-ART012	performer_candidate_needs_review	medium-high	Artist text appears on Fania official shop product page for release 'Live At Yankee Stadium Vol. 2': Justo Betancourt	Justo Betancourt	SRC0003-B0001-REL004	Live At Yankee Stadium Vol. 2	staged_for_review	SRC0003	Fania Records	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-2-lp	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-2-lp
SRC0003-B0001-ART013	performer_candidate_needs_review	medium-high	Artist text appears on Fania official shop product page for release 'Live At Yankee Stadium Vol. 2': Cheo Feliciano	Cheo Feliciano	SRC0003-B0001-REL004	Live At Yankee Stadium Vol. 2	staged_for_review	SRC0003	Fania Records	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-2-lp	https://fania.com/products/fania-all-stars-live-at-yankee-stadium-vol-2-lp
