artist_candidate_id	candidate_artist_type	confidence	evidence_text	raw_artist_text	release_candidate_id	release_title	review_status	source_id	source_name	source_reference	source_url
SRC0002-B0005-ART001	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Parranderas del Siglo': Los Alegres Parranderos	Los Alegres Parranderos	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/
SRC0002-B0005-ART002	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Parranderas del Siglo': Joaquín Bedoya	Joaquín Bedoya	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/
SRC0002-B0005-ART003	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Parranderas del Siglo': Agustín Bedoya	Agustín Bedoya	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/
SRC0002-B0005-ART004	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Parranderas del Siglo': El Manicomio de Vargasvil	El Manicomio de Vargasvil	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/
SRC0002-B0005-ART005	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Parranderas del Siglo': Los Integrados	Los Integrados	SRC0002-B0005-REL001	Colección 100 Parranderas del Siglo	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-parranderas-del-siglo/
SRC0002-B0005-ART006	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos de Diciembre': Los Hispanos	Los Hispanos	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/
SRC0002-B0005-ART007	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos de Diciembre': Ricardo Ray	Ricardo Ray	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/
SRC0002-B0005-ART008	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos de Diciembre': Bobby Cruz	Bobby Cruz	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/
SRC0002-B0005-ART009	group_candidate	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos de Diciembre': La Sonora Matancera	La Sonora Matancera	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/
SRC0002-B0005-ART010	performer_candidate_needs_review	medium-high	Artist text appears on Discos Fuentes shop product page for release 'Colección 100 Exitos de Diciembre': Guillermo Buitrago	Guillermo Buitrago	SRC0002-B0005-REL002	Colección 100 Exitos de Diciembre	staged_for_review	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-diciembre-usb-8-gb/
